,success,failure_predator,failure_timeout
0,1,0,0
1,0,1,0
2,0,1,0
3,0,1,0
4,0,1,0
5,0,1,0
6,0,1,0
7,0,1,0
8,1,0,0
9,1,0,0
10,0,1,0
11,0,1,0
12,0,1,0
13,1,0,0
14,0,1,0
15,0,1,0
16,1,0,0
17,1,0,0
18,1,0,0
19,0,1,0
20,0,1,0
21,1,0,0
22,1,0,0
23,0,1,0
24,0,1,0
25,0,1,0
26,1,0,0
27,1,0,0
28,0,1,0
29,1,0,0
30,0,1,0
31,0,1,0
32,1,0,0
33,0,1,0
34,1,0,0
35,1,0,0
36,1,0,0
37,0,1,0
38,0,1,0
39,1,0,0
40,0,1,0
41,1,0,0
42,0,1,0
43,1,0,0
44,1,0,0
45,0,1,0
46,1,0,0
47,1,0,0
48,1,0,0
49,0,1,0
50,0,1,0
51,0,1,0
52,0,1,0
53,0,1,0
54,1,0,0
55,0,1,0
56,0,1,0
57,1,0,0
58,1,0,0
59,1,0,0
60,1,0,0
61,0,1,0
62,1,0,0
63,1,0,0
64,1,0,0
65,1,0,0
66,0,1,0
67,1,0,0
68,0,1,0
69,1,0,0
70,1,0,0
71,0,1,0
72,0,1,0
73,1,0,0
74,1,0,0
75,1,0,0
76,0,1,0
77,0,1,0
78,0,1,0
79,0,1,0
80,0,1,0
81,0,1,0
82,0,1,0
83,0,1,0
84,1,0,0
85,1,0,0
86,1,0,0
87,0,1,0
88,0,1,0
89,0,1,0
90,1,0,0
91,0,1,0
92,1,0,0
93,1,0,0
94,0,1,0
95,0,1,0
96,1,0,0
97,1,0,0
98,1,0,0
99,1,0,0
