,success,failure_predator,failure_timeout
0,1,0,0
1,0,1,0
2,1,0,0
3,0,1,0
4,0,1,0
5,0,1,0
6,0,1,0
7,0,1,0
8,0,1,0
9,1,0,0
10,0,1,0
11,1,0,0
12,0,1,0
13,0,1,0
14,1,0,0
15,1,0,0
16,1,0,0
17,1,0,0
18,1,0,0
19,1,0,0
20,0,1,0
21,0,1,0
22,0,1,0
23,0,1,0
24,1,0,0
25,1,0,0
26,1,0,0
27,1,0,0
28,1,0,0
29,0,1,0
30,1,0,0
31,1,0,0
32,1,0,0
33,0,1,0
34,0,1,0
35,1,0,0
36,0,1,0
37,0,1,0
38,0,1,0
39,0,1,0
40,0,1,0
41,1,0,0
42,0,1,0
43,1,0,0
44,0,1,0
45,0,1,0
46,0,1,0
47,0,1,0
48,1,0,0
49,1,0,0
50,0,1,0
51,0,1,0
52,0,1,0
53,1,0,0
54,1,0,0
55,1,0,0
56,0,1,0
57,0,1,0
58,0,1,0
59,0,1,0
60,0,1,0
61,0,1,0
62,0,1,0
63,0,1,0
64,0,1,0
65,0,1,0
66,0,1,0
67,0,1,0
68,1,0,0
69,0,1,0
70,0,1,0
71,0,1,0
72,1,0,0
73,0,1,0
74,1,0,0
75,1,0,0
76,0,1,0
77,0,1,0
78,0,1,0
79,0,1,0
80,1,0,0
81,0,1,0
82,0,1,0
83,1,0,0
84,1,0,0
85,1,0,0
86,0,1,0
87,0,1,0
88,1,0,0
89,0,1,0
90,1,0,0
91,0,1,0
92,1,0,0
93,0,1,0
94,1,0,0
95,1,0,0
96,1,0,0
97,1,0,0
98,0,1,0
99,0,1,0
