,success,failure_predator,failure_timeout
0,1,0,0
1,0,1,0
2,0,1,0
3,1,0,0
4,0,1,0
5,0,1,0
6,0,1,0
7,1,0,0
8,1,0,0
9,0,1,0
10,1,0,0
11,0,1,0
12,0,1,0
13,1,0,0
14,1,0,0
15,1,0,0
16,0,1,0
17,1,0,0
18,0,1,0
19,0,1,0
20,0,1,0
21,0,1,0
22,1,0,0
23,1,0,0
24,0,1,0
25,0,1,0
26,0,1,0
27,0,1,0
28,0,1,0
29,1,0,0
30,0,1,0
31,1,0,0
32,1,0,0
33,0,1,0
34,0,1,0
35,1,0,0
36,0,1,0
37,0,1,0
38,1,0,0
39,0,1,0
40,1,0,0
41,1,0,0
42,0,1,0
43,0,1,0
44,0,1,0
45,0,1,0
46,1,0,0
47,1,0,0
48,0,1,0
49,0,1,0
50,0,1,0
51,0,1,0
52,0,1,0
53,1,0,0
54,1,0,0
55,0,1,0
56,1,0,0
57,1,0,0
58,0,1,0
59,0,1,0
60,0,1,0
61,0,1,0
62,0,1,0
63,1,0,0
64,0,1,0
65,0,1,0
66,1,0,0
67,1,0,0
68,0,1,0
69,1,0,0
70,0,1,0
71,1,0,0
72,0,1,0
73,0,1,0
74,1,0,0
75,1,0,0
76,0,1,0
77,0,1,0
78,1,0,0
79,0,1,0
80,0,1,0
81,1,0,0
82,0,1,0
83,0,1,0
84,1,0,0
85,0,1,0
86,0,1,0
87,1,0,0
88,0,1,0
89,1,0,0
90,0,1,0
91,1,0,0
92,0,1,0
93,0,1,0
94,1,0,0
95,1,0,0
96,1,0,0
97,0,1,0
98,0,1,0
99,1,0,0
