,success,failure_predator,failure_timeout
0,0,1,0
1,0,1,0
2,0,1,0
3,0,1,0
4,1,0,0
5,0,1,0
6,0,1,0
7,0,1,0
8,0,1,0
9,0,1,0
10,1,0,0
11,0,1,0
12,1,0,0
13,0,1,0
14,0,1,0
15,0,1,0
16,0,1,0
17,0,1,0
18,0,1,0
19,0,1,0
20,0,1,0
21,0,1,0
22,1,0,0
23,0,1,0
24,1,0,0
25,1,0,0
26,0,1,0
27,0,1,0
28,1,0,0
29,0,1,0
30,0,1,0
31,0,1,0
32,1,0,0
33,1,0,0
34,1,0,0
35,1,0,0
36,0,1,0
37,1,0,0
38,1,0,0
39,1,0,0
40,1,0,0
41,1,0,0
42,1,0,0
43,0,1,0
44,1,0,0
45,1,0,0
46,0,1,0
47,1,0,0
48,0,1,0
49,0,1,0
50,0,1,0
51,1,0,0
52,0,1,0
53,0,1,0
54,0,1,0
55,0,1,0
56,0,1,0
57,1,0,0
58,1,0,0
59,0,1,0
60,1,0,0
61,1,0,0
62,0,1,0
63,1,0,0
64,1,0,0
65,0,1,0
66,1,0,0
67,1,0,0
68,1,0,0
69,1,0,0
70,0,1,0
71,0,1,0
72,1,0,0
73,0,1,0
74,0,1,0
75,0,1,0
76,1,0,0
77,1,0,0
78,1,0,0
79,1,0,0
80,1,0,0
81,0,1,0
82,1,0,0
83,1,0,0
84,1,0,0
85,0,1,0
86,0,1,0
87,0,1,0
88,0,1,0
89,0,1,0
90,1,0,0
91,1,0,0
92,1,0,0
93,1,0,0
94,0,1,0
95,0,1,0
96,1,0,0
97,0,1,0
98,1,0,0
99,0,1,0
